gene,Erastin AUC to expression,RSL3 AUC to expression,FIN56 AUC to expression,Erastin AUC to Depscore,RSL3 AUC to Depscore,FIN56 AUC to Depscore
TET2,0.49238961221228444,0.43506002879604505,0.4024894705402514,-0.33353071628064257,-0.6833751652360307,-0.7512103245151771
CXXC4,0.4578755933236483,0.3764917662690328,0.14647736993464489,-0.628644645092288,-0.7469544861650341,-0.6548434338569854
TCTN2,0.04802134111377667,0.01966989926847986,-0.07556910992979755,-0.24328484598769415,-0.0038983502377635958,0.009315659200696191
SHOX2,-0.5897824277903092,-0.7249788905691351,-0.5504757591845741,0.05380864526625729,0.10151216256866098,0.2999286334692555
PPIP5K1,0.43837537749029487,0.4097996910041449,0.33346428825918717,0.5185676536595053,0.3162859363139088,0.08078598741684707
TSPAN5,0.09233371852615543,-0.08537803745446147,-0.07897584186338667,-0.005684471434125194,-0.17172509108871953,-0.24177448705405993
ABHD15,0.46564393189347064,0.2390642621610362,-0.011519256437273091,-0.11987817444373301,-0.3474748243040608,-0.20765628460453112
ZBTB5,-0.037051734481510855,0.006710713649791222,0.2266829661237501,-0.06866565900635511,-0.32216446807366045,-0.320141927213107
CHTF8,-0.12155155214398357,-0.30845673035022664,-0.2624678387873249,0.41876541546220875,0.43297403119201144,0.1806215597100477
ADAL,0.08962920199266886,0.2870134620511419,0.3980256252997012,0.04738716690266636,0.3406879414365361,0.27575708623190276
LCMT2,0.27606545748935624,0.34280825924995695,0.16985655064767818,0.3817702322332726,0.41622192787559154,0.4291586213649983
